,manufacturer,name,type,retail_price,dealer_cost,mpg_city,mpg_hwy
0,Acura,Acura 3.5 RL 4dr,Small/Sporty/ Compact/Large Sedan,43755,39014,18,24
1,Acura,Acura 3.5 RL w/Navigation 4dr,Small/Sporty/ Compact/Large Sedan,46100,41100,18,24
2,Acura,Acura MDX,SUV,36945,33337,17,23
3,Acura,Acura NSX coupe 2dr manual S,Sports Car,89765,79978,17,24
4,Acura,Acura RSX Type S 2dr,Small/Sporty/ Compact/Large Sedan,23820,21761,24,31
5,Acura,Acura TL 4dr,Small/Sporty/ Compact/Large Sedan,33195,30299,20,28
6,Acura,Acura TSX 4dr,Small/Sporty/ Compact/Large Sedan,26990,24647,22,29
7,Audi,Audi A4 1.8T 4dr,Small/Sporty/ Compact/Large Sedan,25940,23508,22,31
8,Audi,Audi A4 3.0 4dr,Small/Sporty/ Compact/Large Sedan,31840,28846,20,28
9,Audi,Audi A4 3.0 convertible 2dr,Small/Sporty/ Compact/Large Sedan,42490,38325,20,27
10,Audi,Audi A4 3.0 Quattro 4dr auto,Small/Sporty/ Compact/Large Sedan,34480,31388,18,25
11,Audi,Audi A4 3.0 Quattro 4dr manual,Small/Sporty/ Compact/Large Sedan,33430,30366,17,26
12,Audi,Audi A4 3.0 Quattro convertible 2dr,Small/Sporty/ Compact/Large Sedan,44240,40075,18,25
13,Audi,Audi A41.8T convertible 2dr,Small/Sporty/ Compact/Large Sedan,35940,32506,23,30
14,Audi,Audi A6 2.7 Turbo Quattro 4dr,Small/Sporty/ Compact/Large Sedan,42840,38840,18,25
15,Audi,Audi A6 3.0 4dr,Small/Sporty/ Compact/Large Sedan,36640,33129,20,27
16,Audi,Audi A6 3.0 Avant Quattro,Wagon,40840,37060,18,25
17,Audi,Audi A6 3.0 Quattro 4dr,Small/Sporty/ Compact/Large Sedan,39640,35992,18,25
18,Audi,Audi A6 4.2 Quattro 4dr,Small/Sporty/ Compact/Large Sedan,49690,44936,17,24
19,Audi,Audi A8 L Quattro 4dr,Small/Sporty/ Compact/Large Sedan,69190,64740,17,24
20,Audi,Audi RS 6 4dr,Sports Car,84600,76417,15,22
21,Audi,Audi S4 Avant Quattro,Wagon,49090,44446,15,21
22,Audi,Audi S4 Quattro 4dr,Small/Sporty/ Compact/Large Sedan,48040,43556,14,20
23,Audi,Audi TT 1.8 convertible 2dr (coupe),Sports Car,35940,32512,20,28
24,Audi,Audi TT 1.8 Quattro 2dr (convertible),Sports Car,37390,33891,20,28
25,Audi,Audi TT 3.2 coupe 2dr (convertible),Sports Car,40590,36739,21,29
26,BMW,BMW 325Ci 2dr,Small/Sporty/ Compact/Large Sedan,30795,28245,20,29
27,BMW,BMW 325Ci convertible 2dr,Small/Sporty/ Compact/Large Sedan,37995,34800,19,27
28,BMW,BMW 325i 4dr,Small/Sporty/ Compact/Large Sedan,28495,26155,20,29
29,BMW,BMW 325xi 4dr,Small/Sporty/ Compact/Large Sedan,30245,27745,19,27
30,BMW,BMW 325xi Sport,Wagon,32845,30110,19,26
31,BMW,BMW 330Ci 2dr,Small/Sporty/ Compact/Large Sedan,36995,33890,20,30
32,BMW,BMW 330Ci convertible 2dr,Small/Sporty/ Compact/Large Sedan,44295,40530,19,28
33,BMW,BMW 330i 4dr,Small/Sporty/ Compact/Large Sedan,35495,32525,20,30
34,BMW,BMW 330xi 4dr,Small/Sporty/ Compact/Large Sedan,37245,34115,20,29
35,BMW,BMW 525i 4dr,Small/Sporty/ Compact/Large Sedan,39995,36620,19,28
36,BMW,BMW 530i 4dr,Small/Sporty/ Compact/Large Sedan,44995,41170,20,30
37,BMW,BMW 545iA 4dr,Small/Sporty/ Compact/Large Sedan,54995,50270,18,26
