,name,type,retail_price,engine_size,hp,mpg_city,mpg_hwy,weight,wheel_base
427,Volvo XC90 T6,SUV,41250,2.9,268,15,20,4638,113
159,Honda CR-V LX,SUV,19860,2.4,160,21,25,3258,103
160,Honda Element LX,SUV,18690,2.4,160,21,24,3468,101
334,Porsche Boxster convertible 2dr,Sports Car,43365,2.7,228,20,29,2811,95
162,Honda Odyssey EX,Minivan,27450,3.5,240,18,25,4365,118
163,Honda Odyssey LX,Minivan,24950,3.5,240,18,25,4310,118
164,Honda Pilot LX,SUV,27560,3.5,240,17,22,4387,106
165,Honda S2000 convertible 2dr,Sports Car,33260,2.2,240,20,25,2835,95
166,Hummer H2,SUV,49995,6.0,316,10,12,6400,123
333,Porsche 911 Targa coupe 2dr,Sports Car,76765,3.6,315,18,26,3119,93
332,Porsche 911 GT2 2dr,Sports Car,192465,3.6,477,17,24,3131,93
331,Porsche 911 Carrera convertible 2dr (coupe),Sports Car,79165,3.6,315,18,26,3135,93
335,Porsche Boxster S convertible 2dr,Sports Car,52365,3.2,258,18,26,2911,95
330,Porsche 911 Carrera 4S coupe 2dr (convert),Sports Car,84165,3.6,315,17,24,3240,93
173,Hyundai Santa Fe GLS,SUV,21589,2.7,173,20,26,3549,103
326,Pontiac Montana EWB,Minivan,31370,3.4,185,18,24,4431,121
176,Hyundai Tiburon GT V6 2dr,Sports Car,18739,2.7,172,19,26,3023,100
325,Pontiac Montana,Minivan,23845,3.4,185,19,26,3803,112
324,Pontiac GTO 2dr,Sports Car,33500,5.7,340,*,*,3725,110
179,Infiniti FX35,Wagon,34895,3.5,280,16,22,4056,112
180,Infiniti FX45,Wagon,36395,4.5,315,15,19,4309,112
319,Pontiac Aztekt,SUV,21595,3.4,185,19,26,3779,108
318,Oldsmobile Silhouette GL,Minivan,28790,3.4,185,19,26,3948,120
187,Isuzu Ascender S,SUV,31849,4.2,275,15,20,4967,129
188,Isuzu Rodeo S,SUV,20449,3.2,193,17,21,3836,106
329,Pontiac Vibe,Wagon,17045,1.8,130,29,36,2701,102
336,Porsche Cayenne S,SUV,56665,4.5,340,14,18,4950,112
341,Saab 9-5 Aero,Wagon,40845,2.3,250,19,29,3620,106
148,GMC Yukon XL 2500 SLT,SUV,46265,6.0,325,13,17,6133,130
355,Subaru Forester X,Wagon,21445,2.5,165,21,28,3090,99
118,Dodge Viper SRT-10 convertible 2dr,Sports Car,81795,8.3,500,*,*,3410,99
354,Subaru Baja,Pickup,24520,2.5,165,21,28,3485,104
353,Scion xB,Wagon,14165,1.5,108,31,35,2425,98
122,Ford Escape XLS,SUV,22515,3.0,201,18,23,3346,103
123,Ford Excursion 6.8 XLT,SUV,41475,6.8,310,*,*,7190,137
124,Ford Expedition 4.6 XLT,SUV,34560,4.6,232,15,19,5000,119
125,Ford Explorer XLT V6,SUV,29670,4.0,210,15,20,4463,114
126,Ford F-150 Regular Cab XL,Pickup,22010,4.6,231,15,19,4788,126
127,Ford F-150 Supercab Lariat,Pickup,33540,5.4,300,14,18,5464,133
351,Saturn VUE,SUV,20585,2.2,143,21,26,3381,107
131,Ford Focus ZTW,Wagon,17475,2.0,130,26,33,2702,103
134,Ford Freestar SE,Minivan,26930,3.9,193,17,23,4275,121
