manufacturer,avg_net_income,avg_profit_percentage,mpg_city,mpg_hwy
Acura,4347.71428571,10.8433719016,19.4285714286,26.1428571429
Audi,3977.78947368,10.2093434527,18.4736842105,25.7894736842
BMW,3664.6,9.21163277045,18.7,27.0
Buick,2682.88888889,9.54707354341,18.8888888889,27.7777777778
CMC,4364.0,13.9153725965,16.0,19.0
Cadillac,4047.5,8.72423666959,16.5,23.0
Chevrolet,2526.22222222,9.71211440978,19.6666666667,26.8518518519
Chrvsler,1783.0,7.37630316068,21.0,27.0
Chrysler,1996.14285714,7.75613202835,19.7857142857,27.3571428571
Dodge,2093.76923077,8.26894838393,20.0,26.75
Ford,2062.86956522,8.82824351459,19.6818181818,26.3181818182
GMC,3115.0,11.9669624664,15.8333333333,19.8333333333
Honda,1921.94117647,9.6564278823,27.8235294118,34.0
Hummer,4180.0,9.12364945978,10.0,12.0
Hyundai,1441.16666667,8.52983091188,23.0,29.9166666667
Infiniti,3190.0,9.58997677401,17.25,23.875
Isuzu,1530.0,6.20634586269,16.0,20.5
Jaguar,5482.0,9.75892864668,17.5,25.5833333333
Jeep,1873.66666667,8.12754305843,17.3333333333,21.3333333333
Kia,985.545454545,6.26445999364,21.9090909091,28.8181818182
Land,3980.66666667,9.31689673958,14.0,17.6666666667
Lexus,5455.45454545,13.8895612575,17.4545454545,23.4545454545
Lincoln,3739.77777778,9.43270977978,16.7777777778,23.4444444444
Mazda,1706.875,7.73360836373,20.125,25.375
Mazda3,1126.5,7.36959718213,,
Mazda6,1453.0,8.1551327384,24.0,32.0
Mercedes-Benz,4203.5,7.45561438305,17.3461538462,23.6538461538
Mercury,2315.22222222,8.94695684723,17.5555555556,24.5555555556
Mini,1712.0,10.1924263975,26.5,35.5
Mitsubishi,1588.84615385,7.19472302774,18.625,25.0
Nissan,1733.47058824,7.35594827609,19.7058823529,25.4117647059
Oldsmobile,2014.33333333,9.04026634003,21.0,29.0
Pontiac,1996.72727273,8.8620211237,21.4444444444,29.6666666667
Porsche,9902.14285714,14.0972816236,17.4285714286,24.7142857143
Saab,2019.71428571,5.67439078448,20.4285714286,28.8571428571
Saturn,1166.375,7.1435286359,24.375,32.875
Scion,655.0,5.0732160978,31.5,36.5
Subaru,2204.27272727,9.43477946844,20.2727272727,27.0909090909
Suzuki,339.0,1.88333681499,22.125,27.875
Toyota,2228.53571429,10.3583574804,24.4285714286,30.75
Volkswagen,2566.0,8.59465612396,22.5384615385,29.7692307692
Volvo,2098.0,6.12368038758,19.75,26.6666666667
